,Date,Dewpt,Location,Pressure,Rain,Temp,Winddir,Windspd
0,20170216,45,KBLI,29.46,1,52,172,9
1,20170217,42,KBLI,29.70,1,46,342,5
2,20170218,41,KBLI,29.45,1,41,327,1
3,20170219,40,KBLI,29.47,1,44,116,12
4,20170220,40,KBLI,29.64,1,45,357,5
5,20170221,38,KBLI,29.86,1,42,331,3
6,20170222,34,KBLI,30.20,1,38,160,3
